date,v1
2020-06-24,14.97
2020-06-25,15.26
2020-06-26,14.94
2020-06-29,14.87
2020-06-30,15.11
2020-07-01,15.92
2020-07-02,15.83
2020-07-06,15.74
2020-07-07,15.39
2020-07-08,15.46
2020-07-09,15.34
2020-07-10,15.44
2020-07-13,15.18
2020-07-14,15.29
2020-07-15,15.47
2020-07-16,15.35
2020-07-17,15.71
2020-07-20,15.54
2020-07-21,15.51
2020-07-22,15.92
2020-07-23,15.67
2020-07-24,15.43
2020-07-27,15.7
2020-07-28,15.99
2020-07-29,16.45
2020-07-30,16.72
2020-07-31,16.72
2020-08-03,16.63
2020-08-04,16.63
2020-08-05,16.49
2020-08-06,16.44
2020-08-07,16.93
2020-08-10,16.83
2020-08-11,16.46
2020-08-12,16.73
2020-08-13,16.36
2020-08-14,16.07
2020-08-17,16.59
2020-08-18,16.4
2020-08-19,16.09
2020-08-20,16.12
2020-08-21,16.31
2020-08-24,16.32
2020-08-25,16.22
2020-08-26,15.98
2020-08-27,16.16
2020-08-28,16.07
2020-08-31,16.05
2020-09-01,16.13
2020-09-02,16.45
2020-09-03,16.16
2020-09-04,16.07
2020-09-08,15.8
2020-09-09,16.29
2020-09-10,15.93
2020-09-11,15.97
2020-09-14,16.35
2020-09-15,16.21
2020-09-16,16.22
2020-09-17,16.05
2020-09-18,15.88
2020-09-21,15.46
2020-09-22,15.54
2020-09-23,14.82
2020-09-24,15.11
2020-09-25,15.46
2020-09-28,16
2020-09-29,15.7
2020-09-30,15.69
2020-10-01,15.94
2020-10-02,16.24
2020-10-05,16.35
2020-10-06,16.29
2020-10-07,16.19
2020-10-08,16.55
2020-10-09,16.41
2020-10-12,16.45
2020-10-13,16
2020-10-14,15.78
2020-10-15,15.76
2020-10-16,15.48
2020-10-19,15.33
2020-10-20,15.48
2020-10-21,15.57
2020-10-22,15.95
2020-10-23,16.1
2020-10-26,15.87
2020-10-27,15.54
2020-10-28,15.14
2020-10-29,15.18
2020-10-30,15.1
2020-11-02,15.32
2020-11-03,15.51
2020-11-04,15.97
2020-11-05,16.05
2020-11-06,16.05
2020-11-09,15.28
2020-11-10,15.54
2020-11-11,16.09
2020-11-12,15.92
2020-11-13,16.16
2020-11-16,16.13
2020-11-17,15.95
2020-11-18,15.67
2020-11-19,15.56
2020-11-20,15.65
2020-11-23,15.59
2020-11-24,15.84
2020-11-25,16.2
2020-11-27,15.93
2020-11-30,15.83
2020-12-01,16.2
2020-12-02,16
2020-12-03,16.28
2020-12-04,16.75
2020-12-07,16.42
2020-12-08,16.32
2020-12-09,16.17
2020-12-10,16.02
2020-12-11,16.04
2020-12-14,15.94
2020-12-15,16.25
2020-12-16,16.17
2020-12-17,16.22
2020-12-18,15.72
2020-12-21,15.89
2020-12-22,16.08
2020-12-23,15.87
2020-12-24,16.13
2020-12-28,16.25
2020-12-29,16.13
2020-12-30,16.36
2020-12-31,16.45
2021-01-04,16.22
2021-01-05,16.47
2021-01-06,16.51
2021-01-07,16.42
2021-01-08,16.64
2021-01-11,16.48
2021-01-12,16.3
2021-01-13,16.24
2021-01-14,16.43
2021-01-15,16.79
2021-01-19,16.7
2021-01-20,17.04
2021-01-21,17.07
2021-01-22,17.03
2021-01-25,16.83
2021-01-26,16.88
2021-01-27,16.29
2021-01-28,16.46
2021-01-29,16.73
2021-02-01,17.26
2021-02-02,17.17
2021-02-03,17.02
2021-02-04,17.08
2021-02-05,17.03
2021-02-08,17.07
2021-02-09,17.29
2021-02-10,17.33
2021-02-11,17.49
2021-02-12,17.59
2021-02-16,17.54
2021-02-17,17.22
2021-02-18,16.9
2021-02-19,17.01
2021-02-22,16.74
2021-02-23,16.94
2021-02-24,16.95
2021-02-25,16.86
2021-02-26,16.53
2021-03-01,16.64
2021-03-02,16.62
2021-03-03,16.26
2021-03-04,16.14
2021-03-05,16.12
2021-03-08,16.16
2021-03-09,16.39
2021-03-10,16.62
2021-03-11,16.86
2021-03-12,17.5
2021-03-15,17.79
2021-03-16,17.66
2021-03-17,17.58
2021-03-18,17.64
2021-03-19,17.37
2021-03-22,17.64
2021-03-23,17.62
2021-03-24,17.65
2021-03-25,17.97
2021-03-26,18.33
2021-03-29,18.27
2021-03-30,18.3
2021-03-31,18.15
2021-04-01,18.55
2021-04-05,18.37
2021-04-06,18.66
2021-04-07,18.47
2021-04-08,18.42
2021-04-09,18.38
2021-04-12,18.46
2021-04-13,18.58
2021-04-14,18.5
2021-04-15,18.78
2021-04-16,18.93
2021-04-19,19.1
2021-04-20,19.3
2021-04-21,19.22
2021-04-22,19.21
2021-04-23,19.28
2021-04-26,19.22
2021-04-27,19.26
2021-04-28,19.39
2021-04-29,19.72
2021-04-30,19.91
2021-05-03,19.73
2021-05-04,19.8
2021-05-05,19.47
2021-05-06,19.83
2021-05-07,19.89
2021-05-10,19.97
2021-05-11,19.92
2021-05-12,19.45
2021-05-13,19.68
2021-05-14,19.94
2021-05-17,19.97
2021-05-18,19.91
2021-05-19,19.85
2021-05-20,20.22
2021-05-21,20.07
2021-05-24,20.47
2021-05-25,20.55
2021-05-26,20.55
2021-05-27,20.38
2021-05-28,20.6
2021-06-01,20.76
2021-06-02,20.96
2021-06-03,20.88
2021-06-04,20.96
2021-06-07,21.27
2021-06-08,21.23
2021-06-09,21.27
2021-06-10,21.55
2021-06-11,21.42
2021-06-14,21.47
2021-06-15,21.25
2021-06-16,21.1
2021-06-17,21.25
2021-06-18,20.74
2021-06-21,21.31
2021-06-22,21.23
2021-06-23,21.36
2021-06-24,21.32
2021-06-25,21.55
2021-06-28,21.42
2021-06-29,21.31
2021-06-30,21.18
2021-07-01,21.66
2021-07-02,21.85
2021-07-06,22.37
2021-07-07,22.5
2021-07-08,22.72
2021-07-09,23.02
2021-07-12,23.13
2021-07-13,22.86
2021-07-14,22.99
2021-07-15,22.98
2021-07-16,23.06
2021-07-19,22.64
2021-07-20,23.22
2021-07-21,23.03
2021-07-22,22.99
2021-07-23,23.38
2021-07-26,23.22
2021-07-27,23.48
2021-07-28,23.39
2021-07-29,23.45
2021-07-30,23.47
2021-08-02,23.43
2021-08-03,23.32
2021-08-04,23.32
2021-08-05,23.33
2021-08-06,23.15
2021-08-09,22.96
2021-08-10,22.45
2021-08-11,22.57
2021-08-12,22.63
2021-08-13,22.86
2021-08-16,22.87
2021-08-17,22.86
2021-08-18,23.14
2021-08-19,23.21
2021-08-20,23.36
2021-08-23,23.28
2021-08-24,23.14
2021-08-25,23.13
2021-08-26,23.25
2021-08-27,23.37
2021-08-30,23.83
2021-08-31,23.76
2021-09-01,24.19
2021-09-02,24.51
2021-09-03,24.21
2021-09-07,23.83
2021-09-08,24.09
2021-09-09,23.72
2021-09-10,23.25
2021-09-13,23.41
2021-09-14,23.42
2021-09-15,23.31
2021-09-16,23.35
2021-09-17,23.02
2021-09-20,23.01
2021-09-21,23.06
2021-09-22,23.38
2021-09-23,23.35
2021-09-24,22.86
2021-09-27,22.25
2021-09-28,22.24
2021-09-29,22.47
2021-09-30,22.12
2021-10-01,22.42
2021-10-04,22.38
2021-10-05,22.19
2021-10-06,22.33
2021-10-07,22.27
2021-10-08,22.25
2021-10-11,22.31
2021-10-12,22.53
2021-10-13,23.03
2021-10-14,23.27
2021-10-15,23.21
2021-10-18,23.26
2021-10-19,23.22
2021-10-20,23.38
2021-10-21,23.28
2021-10-22,23.62
2021-10-25,23.7
2021-10-26,23.65
2021-10-27,23.38
2021-10-28,23.91
2021-10-29,23.83
2021-11-01,23.75
2021-11-02,24
2021-11-03,23.97
2021-11-04,23.51
2021-11-05,23.58
2021-11-08,23.37
2021-11-09,23.41
2021-11-10,23.44
2021-11-11,23.42
2021-11-12,23.43
2021-11-15,23.62
2021-11-16,23.4
2021-11-17,23.4
2021-11-18,23.72
2021-11-19,23.63
2021-11-22,23.54
2021-11-23,23.77
2021-11-24,24.24
2021-11-26,23.77
2021-11-29,23.84
2021-11-30,23.36
2021-12-01,23
2021-12-02,23.88
2021-12-03,24.06
2021-12-06,24.44
2021-12-07,24.64
2021-12-08,25
2021-12-09,24.68
2021-12-10,24.68
2021-12-13,24.94
2021-12-14,24.34
2021-12-15,24.76
2021-12-16,24.57
2021-12-17,24.78
2021-12-20,24.56
2021-12-21,25.04
2021-12-22,25.41
2021-12-23,25.39
2021-12-27,25.72
2021-12-28,25.76
2021-12-29,26.09
2021-12-30,26.09
2021-12-31,26.19
2022-01-03,27.27
2022-01-04,27.37
2022-01-05,26.62
2022-01-06,26.53
2022-01-07,26.03
2022-01-10,25.86
2022-01-11,26.17
2022-01-12,26.35
2022-01-13,26.45
2022-01-14,26.31
2022-01-18,26.23
2022-01-19,25.98
2022-01-20,25.37
2022-01-21,25.4
2022-01-24,25.28
2022-01-25,24.92
2022-01-26,24.65
2022-01-27,24.32
2022-01-28,25.22
2022-01-31,25.46
2022-02-01,25.36
2022-02-02,25.83
2022-02-03,25.71
2022-02-04,25.73
2022-02-07,25.27
2022-02-08,25.34
2022-02-09,25.97
2022-02-10,25.6
2022-02-11,25.37
2022-02-14,25.11
2022-02-15,25.08
2022-02-16,24.53
2022-02-17,23.82
2022-02-18,23.42
