Date_Index,Daily Estimated Operating Income
1629,724.2857142857143
1630,724.5714285714286
1631,724.8571428571429
1632,725.1428571428571
1633,725.4285714285714
1634,725.7142857142857
1635,726.0
1636,726.2857142857143
1637,726.5714285714286
1638,726.8571428571429
1639,727.1428571428571
1640,727.4285714285714
1641,727.7142857142857
1642,728.0
1643,727.945652173913
1644,727.8913043478261
1645,727.8369565217391
1646,727.7826086956521
1647,727.7282608695652
1648,727.6739130434783
1649,727.6195652173913
1650,727.5652173913044
1651,727.5108695652174
1652,727.4565217391304
1653,727.4021739130435
1654,727.3478260869565
1655,727.2934782608696
1656,727.2391304347826
1657,727.1847826086956
1658,727.1304347826087
1659,727.0760869565217
1660,727.0217391304348
1661,726.9673913043479
1662,726.9130434782609
1663,726.8586956521739
1664,726.804347826087
1665,726.75
1666,726.695652173913
1667,726.6413043478261
1668,726.5869565217391
1669,726.5326086956521
1670,726.4782608695652
1671,726.4239130434783
1672,726.3695652173913
1673,726.3152173913044
1674,726.2608695652174
1675,726.2065217391304
1676,726.1521739130435
1677,726.0978260869565
1678,726.0434782608696
1679,725.9891304347826
1680,725.9347826086956
1681,725.8804347826087
1682,725.8260869565217
1683,725.7717391304348
1684,725.7173913043479
1685,725.6630434782609
1686,725.6086956521739
1687,725.554347826087
1688,725.5
1689,725.445652173913
1690,725.3913043478261
1691,725.3369565217391
1692,725.2826086956521
1693,725.2282608695652
1694,725.1739130434783
1695,725.1195652173913
1696,725.0652173913044
1697,725.0108695652174
1698,724.9565217391304
1699,724.9021739130435
1700,724.8478260869565
1701,724.7934782608696
1702,724.7391304347826
1703,724.6847826086956
1704,724.6304347826087
1705,724.5760869565217
1706,724.5217391304348
1707,724.4673913043479
1708,724.4130434782609
1709,724.3586956521739
1710,724.304347826087
1711,724.25
1712,724.195652173913
1713,724.1413043478261
1714,724.0869565217391
1715,724.0326086956521
1716,723.9782608695652
1717,723.9239130434783
1718,723.8695652173913
1719,723.8152173913044
1720,723.7608695652174
1721,723.7065217391304
